Date,Sales
2025-10-30,246584
2025-10-31,246755
2025-11-01,246898
2025-11-02,246791
2025-11-03,247076
2025-11-04,247107
2025-11-05,247298
2025-11-06,247741
2025-11-07,247853
2025-11-08,247839
2025-11-09,247673
2025-11-10,248110
2025-11-11,248109
2025-11-12,248564
2025-11-13,248311
2025-11-14,248360
2025-11-15,248361
2025-11-16,249058
2025-11-17,249300
2025-11-18,248954
2025-11-19,249401
2025-11-20,249665
2025-11-21,249582
2025-11-22,249845
2025-11-23,249982
2025-11-24,250129
2025-11-25,250065
2025-11-26,250566
2025-11-27,250623
2025-11-28,250906
2025-11-29,250735
2025-11-30,250948
2025-12-01,250999
2025-12-02,251009
2025-12-03,251173
2025-12-04,251359
2025-12-05,251384
2025-12-06,251874
2025-12-07,252046
2025-12-08,252174
2025-12-09,252097
2025-12-10,252549
2025-12-11,252605
2025-12-12,252685
2025-12-13,252878
2025-12-14,253353
2025-12-15,253341
2025-12-16,253752
2025-12-17,253714
2025-12-18,254382
2025-12-19,254418
2025-12-20,254761
2025-12-21,254964
2025-12-22,254771
2025-12-23,255276
2025-12-24,255372
2025-12-25,255580
2025-12-26,255788
2025-12-27,255870
2025-12-28,255791
2025-12-29,255989
2025-12-30,256370
2025-12-31,256644
